Date,Open,High,Low,Close,Adj Close,Volume
2015-12-28,14.656667,14.658333,14.656667,14.658333,14.248509,4800
2015-12-29,15.005000,15.253333,15.005000,15.168333,14.744253,52800
2015-12-30,15.118333,15.118333,14.788333,14.788333,14.374876,780600
2015-12-31,14.833333,14.833333,14.411667,14.436667,14.033042,789600
2016-01-04,14.028333,14.028333,13.563333,13.750000,13.365572,37200
2016-01-05,13.955000,14.000000,13.741667,13.741667,13.357475,15600
2016-01-06,13.416667,13.416667,12.871667,12.911667,12.550678,60600
2016-01-07,12.771667,12.771667,12.185000,12.298333,11.954494,39000
2016-01-08,12.333333,12.333333,11.793333,11.793333,11.463611,49200
2016-01-11,11.951667,12.120000,11.763333,11.966667,11.632099,27600
2016-01-12,12.100000,12.150000,12.053333,12.150000,11.810307,9000
2016-01-13,12.405000,12.405000,11.431667,11.431667,11.112056,62400
2016-01-14,11.348333,11.820000,11.306667,11.820000,11.489532,16200
2016-01-15,10.785000,10.915000,10.438333,10.508333,10.214538,34200
2016-01-19,11.118333,11.118333,10.435000,10.613333,10.316601,43200
2016-01-20,10.335000,10.746667,10.138333,10.746667,10.446208,25200
2016-01-21,10.776667,11.248333,10.776667,10.963333,10.656816,21600
2016-01-22,11.308333,11.585000,11.133333,11.150000,10.838264,55800
2016-01-25,11.150000,11.293333,10.965000,10.965000,10.658439,18000
2016-01-26,11.110000,11.333333,11.110000,11.333333,11.016470,11400
2016-01-27,11.231667,11.441667,10.921667,10.921667,10.616316,43800
2016-01-28,11.261667,11.390000,11.073333,11.120000,10.809105,15000
2016-01-29,11.166667,11.966667,11.166667,11.966667,11.632099,18600
2016-02-01,11.940000,12.110000,11.850000,11.953333,11.619139,29400
2016-02-02,11.650000,11.650000,11.133333,11.133333,10.822064,21000
2016-02-03,10.968333,11.161667,10.600000,11.110000,10.799382,32400
2016-02-04,11.306667,11.406667,11.286667,11.358333,11.040771,7800
2016-02-05,10.800000,10.826667,10.728333,10.730000,10.430007,20400
2016-02-08,10.351667,10.391667,10.043333,10.226667,9.940745,60000
2016-02-09,10.121667,10.455000,10.048333,10.416667,10.125434,55200
2016-02-10,10.416667,10.416667,10.416667,10.416667,10.125434,0
2016-02-11,9.816667,10.003333,9.355000,9.873333,9.597291,60600
2016-02-12,10.065000,10.333333,9.910000,10.223333,9.937507,9000
2016-02-16,10.495000,10.856667,10.495000,10.856667,10.553133,9000
2016-02-17,10.970000,11.341667,10.970000,11.291667,10.975972,52800
2016-02-18,11.261667,11.340000,11.261667,11.340000,11.022955,4800
2016-02-19,11.266667,11.293333,11.266667,11.293333,10.977590,3000
2016-02-22,11.731667,11.731667,11.476667,11.476667,11.155799,6000
2016-02-23,11.376667,11.376667,11.138333,11.200000,10.886866,30000
2016-02-24,11.083333,11.186667,10.998333,11.186667,10.873907,3000
2016-02-25,11.613333,11.683333,11.613333,11.683333,11.356687,4800
2016-02-26,11.848333,11.963333,11.816667,11.920000,11.586737,106800
2016-02-29,12.125000,12.166667,11.900000,11.900000,11.567296,7200
2016-03-01,12.221667,12.383333,12.220000,12.383333,12.037116,26400
2016-03-02,12.533333,12.573333,12.533333,12.535000,12.184541,6600
2016-03-03,12.705000,12.721667,12.618333,12.618333,12.265546,7200
2016-03-04,12.833333,12.965000,12.833333,12.965000,12.602522,5400
2016-03-07,12.763333,13.073333,12.693333,12.941667,12.579838,43200
2016-03-08,12.705000,13.001667,12.416667,12.593333,12.241244,31200
2016-03-09,12.585000,12.585000,12.418333,12.536667,12.186163,15000
2016-03-10,12.886667,12.888333,12.355000,12.698333,12.343309,22200
2016-03-11,13.083333,13.271667,13.083333,13.255000,12.884414,9600
2016-03-14,13.336667,13.336667,13.138333,13.200000,12.830952,10200
2016-03-15,12.961667,12.961667,12.910000,12.910000,12.549056,6600
2016-03-16,12.910000,12.910000,12.910000,12.910000,12.549056,0
2016-03-17,12.916667,13.400000,12.916667,13.400000,13.025358,39000
2016-03-18,13.450000,13.783333,13.450000,13.783333,13.397971,9000
2016-03-21,13.646667,13.750000,13.513333,13.750000,13.365572,13200
2016-03-22,13.766667,13.838333,13.766667,13.838333,13.451434,5400
2016-03-23,13.643333,13.643333,13.408333,13.408333,13.033457,10800
2016-03-24,13.193333,13.286667,13.193333,13.286667,12.915195,3000
2016-03-28,13.271667,13.378333,13.271667,13.378333,13.004297,3600
